R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566025.48414 -131.76
E4_Bvp 1502566025.49977 -109.2909
E4_Bvp 1502566025.5154 -82.95239
E4_Bvp 1502566025.53102 -58.32502
E4_Bvp 1502566025.54665 -37.72292
E4_Bvp 1502566025.56227 -20.97105
E4_Bvp 1502566025.5779 -7.139762
E4_Bvp 1502566025.59352 4.881454
E4_Bvp 1502566025.60915 15.37442
E4_Bvp 1502566025.62478 23.21649
E4_Bvp 1502566025.6404 27.26027
E4_Bvp 1502566025.65603 27.3575
E4_Bvp 1502566025.67165 25.35844
E4_Bvp 1502566025.68728 23.2142
E4_Bvp 1502566025.7029 22.24575
E4_Bvp 1502566025.71853 22.6387
E4_Bvp 1502566025.73416 23.93928
E4_Bvp 1502566025.74978 25.36613
E4_Bvp 1502566025.76541 25.95017
E4_Bvp 1502566025.78103 25.03344
E4_Bvp 1502566025.79666 22.57436
E4_Bvp 1502566025.81228 19.76864
E4_Bvp 1502566025.82791 17.69552
E4_Bvp 1502566025.84354 16.96711
E4_Bvp 1502566025.85916 17.54084
E4_Bvp 1502566025.87479 18.7808
E4_Bvp 1502566025.89041 19.89473
E4_Bvp 1502566025.90604 20.23762
E4_Bvp 1502566025.92166 19.56991
E4_Bvp 1502566025.93729 17.88599
E4_Bvp 1502566025.95292 15.91305
E4_Bvp 1502566025.96854 14.29756
E4_Bvp 1502566025.98417 13.48375
E4_Bvp 1502566025.99979 13.56798
E4_Bvp 1502566026.01542 14.31996
E4_Bvp 1502566026.03104 15.38691
E4_Bvp 1502566026.04667 16.36681
E4_Bvp 1502566026.0623 16.94803
E4_Bvp 1502566026.07792 16.92593
E4_Bvp 1502566026.09355 16.54338
E4_Bvp 1502566026.10917 16.18008
E4_Bvp 1502566026.1248 16.26723
E4_Bvp 1502566026.14042 17.15858
E4_Bvp 1502566026.15605 18.91482
E4_Bvp 1502566026.17168 21.29584
E4_Bvp 1502566026.1873 23.63951
E4_Bvp 1502566026.20293 25.05559
E4_Bvp 1502566026.21855 24.66681
E4_Bvp 1502566026.23418 22.11459
E4_Bvp 1502566026.2498 17.651
E4_Bvp 1502566026.26543 12.17733
E4_Bvp 1502566026.28106 7.013301
E4_Bvp 1502566026.29668 3.249461
E4_Bvp 1502566026.31231 1.453299
E4_Bvp 1502566026.32793 1.442009
E4_Bvp 1502566026.34356 2.34502
E4_Bvp 1502566026.35918 3.138206
E4_Bvp 1502566026.37481 3.260279
E4_Bvp 1502566026.39044 2.895769
E4_Bvp 1502566026.40606 3.008392
E4_Bvp 1502566026.42169 4.852133
E4_Bvp 1502566026.43731 9.153479
E4_Bvp 1502566026.45294 15.44233
E4_Bvp 1502566026.46856 22.22435
E4_Bvp 1502566026.48419 27.37089
E4_Bvp 1502566026.49982 29.0092
E4_Bvp 1502566026.51544 26.43708
E4_Bvp 1502566026.53107 20.04462
E4_Bvp 1502566026.54669 10.77986
E4_Bvp 1502566026.56232 -0.4770851
E4_Bvp 1502566026.57794 -12.96373
E4_Bvp 1502566026.59357 -25.52314
E4_Bvp 1502566026.6092 -35.74055
E4_Bvp 1502566026.62482 -40.848
E4_Bvp 1502566026.64045 -38.73921
E4_Bvp 1502566026.65607 -29.72187
E4_Bvp 1502566026.6717 -17.30419
E4_Bvp 1502566026.68732 -6.948769
E4_Bvp 1502566026.70295 -3.554153
E4_Bvp 1502566026.71858 -8.711857
E4_Bvp 1502566026.7342 -19.86027
E4_Bvp 1502566026.74983 -31.64414
E4_Bvp 1502566026.76545 -39.24068
E4_Bvp 1502566026.78108 -40.85061
E4_Bvp 1502566026.7967 -38.5985
E4_Bvp 1502566026.81233 -36.78954
E4_Bvp 1502566026.82796 -38.82931
E4_Bvp 1502566026.84358 -45.07164
E4_Bvp 1502566026.85921 -52.63779
E4_Bvp 1502566026.87483 -57.37367
E4_Bvp 1502566026.89046 -56.68477
E4_Bvp 1502566026.90608 -50.45755
E4_Bvp 1502566026.92171 -41.47687
E4_Bvp 1502566026.93734 -33.40887
E4_Bvp 1502566026.95296 -28.76757
E4_Bvp 1502566026.96859 -27.24486
E4_Bvp 1502566026.98421 -26.14574
E4_Gsr 1502566183.916 0
E4_Gsr 1502566184.166 0
E4_Gsr 1502566184.416 0
